CompCode,POINT_X,POINT_Y
2,36819.1943,376870.2635
,,
2,36800.7839,376898.0445
,,
2,36786.065,376920.8569
,,
2,36781.5024,376931.6693
,,
2,36768.9631,376958.8567
,,
2,36749.9239,376984.1065
,,
2,36731.865,377018.2938
,,
2,36718.5563,377042.825
,,
2,36702.5873,377069.5748
,,
2,36690.9154,377088.7309
,,
2,36678.8487,377114.3557
,,
2,36666.6025,377135.6682
,,
2,36653.7664,377151.2305
,,
2,36637.5788,377165.2303
,,
2,36602.575,377170.1988
,,
2,36587.9539,377174.8863
,,
2,36535.3288,377184.2295
,,
2,36508.7819,377189.698
,,
2,36449.1531,377200.3851
,,
2,36404.6178,377203.8534
,,
2,36348.2117,377216.1343
,,
2,36290.989,377225.9776
,,
2,36247.9889,377232.9772
,,
2,36228.3585,377237.7392
,,
2,36192.2116,377246.508
,,
2,36134.1491,377256.2263
,,
2,36070.6335,377266.6945
,,
2,36018.6217,377275.8504
,,
2,35976.2662,377284.6625
,,
2,35916.7232,377297.037
,,
2,35853.2233,377309.8802
,,
2,35808.235,377316.3799
,,
2,35765.6334,377323.3796
,,
2,35698.6139,377335.9103
,,
2,35623.2271,377350.5658
,,
2,35557.7935,377366.0028
,,
2,35473.7974,377381.6585
,,
2,35082.352,377448.999
,,
2,35006.1724,377464.3733
,,
2,34589.0198,377548.5575
,,
2,34410.7815,377575.5248
,,
2,34340.4261,377586.1804
,,
2,34148.4691,377615.2413
,,
2,33999.3675,377640.3651
,,
2,33945.1293,377647.0523
,,
2,33861.5863,377668.8641
,,
2,33821.2424,377680.5512
,,
2,33719.9925,377703.1129
,,
2,33609.7776,377719.5183
,,
2,33492.0588,377743.3298
,,
2,33419.2463,377761.5792
,,
2,33416.8635,377751.3916
,,
2,32918.1213,377843.6064
,,
2,32915.6057,377830.9188
,,
2,32853.426,377842.887
,,
2,32714.928,377867.6046
,,
2,32468.8635,377911.759
,,
2,32435.715,377919.2586
,,
2,32420.0626,377924.8211
,,
2,32405.7345,377928.5397
,,
2,32379.8243,377940.0081
,,
2,32319.4121,377958.5702
,,
2,32140.9061,378016.8499
,,
2,31913.5971,378088.2231
,,
2,31810.3412,378129.1597
,,
2,31785.7962,378141.972
,,
2,31757.2687,378159.753
,,
2,31718.4717,378182.5651
,,
2,31682.4149,378208.9399
,,
2,31655.2351,378226.7209
,,
2,31641.8679,378235.3769
,,
2,31612.0103,378254.5329
,,
2,31133.2818,378588.5913
,,
2,31097.1644,378610.0285
,,
2,31085.5979,378619.122
,,
2,31057.5158,378636.4344
,,
2,31043.2033,378641.5279
,,
2,30973.1562,378679.9024
,,
2,30857.027,378733.1201
,,
2,30601.9248,378857.4305
,,
2,30581.3369,378865.2116
,,
2,30630.7892,378959.5555
,,
2,30603.1446,378962.2115
,,
2,30585.3402,378936.149
,,
2,30553.2703,378889.18
,,
2,29993.1842,379020.9255
,,
2,29924.0297,379032.7061
,,
2,29790.8266,379060.705
,,
2,29719.805,379079.4545
,,
2,29705.2367,379086.5168
,,
2,29669.1175,379100.6727
,,
2,29621.6524,379130.7661
,,
2,29570.3788,379160.8594
,,
2,29503.5092,379242.4838
,,
2,29421.4557,379334.983
,,
2,29283.861,379489.9817
,,
2,29192.9833,379594.5746
,,
2,29145.1802,379652.1053
,,
2,29110.3342,379694.0426
,,
2,28999.8646,379815.9166
,,
2,28889.5161,379947.8529
,,
2,28867.9652,379967.6965
,,
2,28706.1098,379981.8515
,,
2,28627.9451,380073.8508
,,
2,28598.8374,380107.5067
,,
2,28595.7611,380125.9129
,,
2,28595.5184,380198.3191
,,
2,28599.1445,380296.6628
,,
2,28494.9427,380388.0681
,,
2,28438.7022,380439.13
,,
2,28438.8972,380475.3488
,,
2,28422.4421,380485.5674
,,
2,28368.7635,380598.848
,,
2,28341.2283,380615.5353
,,
2,28321.5057,380608.6601
,,
2,28292.7755,380580.2225
,,
2,28239.7351,380518.8783
,,
2,28229.4695,380509.4721
,,
2,28229.4624,381400.0646
,,
2,30082.1489,380498.1117
,,
2,32902.2983,379651.5588
,,
2,36229.4739,378652.8067
,,
2,36504.0523,378570.3837
,,
2,37483.8444,378280.5193
,,
3,37355.2474,382445.2632
,,
3,37593.2474,382397.2631
,,
3,38859.2462,380668.264
,,
3,38908.7747,380454.6111
,,
3,38909.1924,380452.8095
,,
3,39961.6861,381571.9533
,,
3,39963.0766,381573.4319
,,
3,39992.0765,381554.4319
,,
3,40042.0766,381526.432
,,
3,40132.0765,381524.4318
,,
3,40361.0764,381536.4318
,,
3,40495.0764,381536.4318
,,
3,40662.9456,381537.425
,,
3,40720.6445,381546.3507
,,
3,40757.9405,381639.6634
,,
3,40792.5224,381655.5386
,,
3,40853.9908,381682.9454
,,
3,41032.0797,381767.2592
,,
3,41169.0713,381826.9164
,,
3,41365.6487,381881.0429
,,
3,41367.5431,381881.2849
,,
3,41368.0762,381881.4311
,,
3,41454.076,381892.4312
,,
3,41505.0761,381877.4311
,,
3,41536.076,381856.4312
,,
3,41525.0759,381791.4313
,,
3,41551.076,381784.4311
,,
3,41588.076,381787.4312
,,
3,41628.0759,381799.4311
,,
3,41819.0758,381655.4312
,,
3,42107.0756,381437.4313
,,
3,42135.0756,381408.4314
,,
3,42075.0757,381329.4314
,,
3,42091.9044,381318.2121
,,
3,42162.4874,381400.3937
,,
3,42164.924,381400.2566
,,
3,42165.0756,381400.4313
,,
3,42335.0755,381391.4312
,,
3,42668.0753,381377.4312
,,
