gebied;compartiment;datetime;X_RD;Y_RD;date_added;source;script;parameter;unit;method;value
Westerschelde;1;1991-07-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;0.744
Westerschelde;1;1991-07-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;12.949194575774
Westerschelde;1;1991-07-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0299754132044153
Westerschelde;1;1991-07-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;3.36
Westerschelde;1;1991-07-18T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;757.5101534587566
Westerschelde;1;1991-08-01T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;514.500718079519
Westerschelde;1;1991-08-01T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;0.805
Westerschelde;1;1991-08-01T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;14.0969763325421
Westerschelde;1;1991-08-01T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0321729917271806
Westerschelde;1;1991-08-01T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;12.56
Westerschelde;1;1991-08-01T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;6260.292194422021
Westerschelde;1;1991-08-14T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;560.042680870277
Westerschelde;1;1991-08-14T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;1.293
Westerschelde;1;1991-08-14T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;13.9736519532445
Westerschelde;1;1991-08-14T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0480209486002059
Westerschelde;1;1991-08-14T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;13.77
Westerschelde;1;1991-08-14T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;4424.290876943978
Westerschelde;1;1991-09-13T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;714.183273922172
Westerschelde;1;1991-09-13T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;1.705
Westerschelde;1;1991-09-13T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;15.0208271385298
Westerschelde;1;1991-09-13T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;alfaB_EP;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1);14C incubation;0.0374435180573775
Westerschelde;1;1991-09-13T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;chlfa;ug/l;scanfish;4.85
Westerschelde;1;1991-09-13T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PP_depth_integrated;mgC_m2_d;calculated;984.4113735352331
Westerschelde;1;1991-09-27T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Eopt_EP;µmol fotonen m-2 s-1;14C incubation;607.281655561696
Westerschelde;1;1991-09-27T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;Kd;/m;scanfish;3.62
Westerschelde;1;1991-09-27T00:00:00Z;28327.815783213737;381972.1803253431;2026-06-10;NIOZ_karlien;load_niozkarlien_integrated_pp.Rmd;PBmax_EP;mgC (mg chla)-1 h-1;14C incubation;14.3116604502764
