gebied;compartiment;datetime;X_RD;Y_RD;date_added;source;script;parameter;value;method;unit
Westerschelde;1;2009-05-28T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;irradiance;1;NA;µmol fotonen m-2 s-1
Westerschelde;1;2009-05-28T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PP_depth_integrated;340;14C incubation;mg C/m2/d
Westerschelde;1;2009-05-28T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;bottomdepth;13.7;NA;m
Westerschelde;1;2009-05-28T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;chlfa;8.81;scanfish;ug/l
Westerschelde;1;2009-05-28T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PBmax_EP;7.03277283231278;14C incubation;mgC (mg chla)-1 h-1
Westerschelde;1;2009-05-28T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;alfaB_EP;0.014347426062399;14C incubation;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;1;2009-05-28T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;Eopt_EP;566.775849194284;14C incubation;µmol fotonen m-2 s-1
Westerschelde;1;2009-05-28T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;Kd;1.615;scanfish;/m
Westerschelde;1;2009-06-25T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;irradiance;1;NA;µmol fotonen m-2 s-1
Westerschelde;1;2009-06-25T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PP_depth_integrated;1769;14C incubation;mg C/m2/d
Westerschelde;1;2009-06-25T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;bottomdepth;13.7;NA;m
Westerschelde;1;2009-06-25T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;chlfa;5.813;scanfish;ug/l
Westerschelde;1;2009-06-25T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PBmax_EP;7.80815081248729;14C incubation;mgC (mg chla)-1 h-1
Westerschelde;1;2009-06-25T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;alfaB_EP;0.0203709605300875;14C incubation;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;1;2009-06-25T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;Eopt_EP;591.662208339487;14C incubation;µmol fotonen m-2 s-1
Westerschelde;1;2009-06-25T10:45:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;Kd;0.614;scanfish;/m
Westerschelde;1;2009-07-09T11:10:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;irradiance;1;NA;µmol fotonen m-2 s-1
Westerschelde;1;2009-07-09T11:10:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PP_depth_integrated;725;14C incubation;mg C/m2/d
Westerschelde;1;2009-07-09T11:10:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;bottomdepth;13.7;NA;m
Westerschelde;1;2009-07-09T11:10:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;chlfa;4.94;scanfish;ug/l
Westerschelde;1;2009-07-09T11:10:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PBmax_EP;10.4425168212555;14C incubation;mgC (mg chla)-1 h-1
Westerschelde;1;2009-07-09T11:10:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;alfaB_EP;0.0245529895889181;14C incubation;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;1;2009-07-09T11:10:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;Eopt_EP;687.90029233778;14C incubation;µmol fotonen m-2 s-1
Westerschelde;1;2009-07-09T11:10:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;Kd;0.684;scanfish;/m
Westerschelde;1;2009-08-27T11:24:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;irradiance;1;NA;µmol fotonen m-2 s-1
Westerschelde;1;2009-08-27T11:24:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PP_depth_integrated;242;14C incubation;mg C/m2/d
Westerschelde;1;2009-08-27T11:24:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;bottomdepth;13.7;NA;m
Westerschelde;1;2009-08-27T11:24:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;chlfa;4.863;scanfish;ug/l
Westerschelde;1;2009-08-27T11:24:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;PBmax_EP;12.1485843303641;14C incubation;mgC (mg chla)-1 h-1
Westerschelde;1;2009-08-27T11:24:00Z;28327.815783213737;381972.1803253431;2025-12-01;NIOZ_Jacco;load_niozJacco_integrated_pp.Rmd;alfaB_EP;0.023865446617807;14C incubation;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
