X_RD;Y_RD;datetime;compartiment;parameter;value;gebied;source;license;method;date_added;script;unit
63310;379623;2016-05-31T15:14:00Z;5;salinity;15.31736842;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
64399;378602;2016-05-31T15:22:00Z;5;chlfa;7.635;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
64399;378602;2016-05-31T15:22:00Z;5;turbidity;19.65473684;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
64399;378602;2016-05-31T15:22:00Z;5;O2;9.085789474;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
64399;378602;2016-05-31T15:22:00Z;5;perc_O2;101.4210526;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
64399;378602;2016-05-31T15:22:00Z;5;salinity;14.59210526;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
66075;376336;2016-05-31T15:37:00Z;5;chlfa;7.479;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
66075;376336;2016-05-31T15:37:00Z;5;turbidity;16.32578947;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
66075;376336;2016-05-31T15:37:00Z;5;O2;8.817894737;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
66075;376336;2016-05-31T15:37:00Z;5;perc_O2;98.05263158;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
66075;376336;2016-05-31T15:37:00Z;5;salinity;12.97684211;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
68298;376596;2016-05-31T15:51:00Z;5;chlfa;7.003;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
68298;376596;2016-05-31T15:51:00Z;5;turbidity;817.6042105;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
68298;376596;2016-05-31T15:51:00Z;5;O2;8.681052632;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
68298;376596;2016-05-31T15:51:00Z;5;perc_O2;96.26315789;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
68298;376596;2016-05-31T15:51:00Z;5;salinity;12.15526316;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
70649;377974;2016-05-31T16:05:00Z;6;chlfa;6.246;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
70649;377974;2016-05-31T16:05:00Z;6;turbidity;520.4142105;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
70649;377974;2016-05-31T16:05:00Z;6;O2;8.506315789;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
70649;377974;2016-05-31T16:05:00Z;6;perc_O2;94.26315789;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
70649;377974;2016-05-31T16:05:00Z;6;salinity;11.61842105;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
72809;378051;2016-05-31T16:19:00Z;7;chlfa;6.583;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
72809;378051;2016-05-31T16:19:00Z;7;turbidity;23.91105263;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
72809;378051;2016-05-31T16:19:00Z;7;O2;8.051052632;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
72809;378051;2016-05-31T16:19:00Z;7;perc_O2;88.73684211;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
72809;378051;2016-05-31T16:19:00Z;7;salinity;9.523684211;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
73638;375791;2016-05-31T16:34:00Z;7;chlfa;5.759;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
73638;375791;2016-05-31T16:34:00Z;7;turbidity;21.62157895;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
73638;375791;2016-05-31T16:34:00Z;7;O2;7.818947368;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
73638;375791;2016-05-31T16:34:00Z;7;perc_O2;85.89473684;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
73638;375791;2016-05-31T16:34:00Z;7;salinity;8.821052632;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
75692;373852;2016-05-31T16:50:00Z;9;chlfa;5.281;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
75692;373852;2016-05-31T16:50:00Z;9;turbidity;49.82357143;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
75692;373852;2016-05-31T16:50:00Z;9;O2;7.646428571;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
75692;373852;2016-05-31T16:50:00Z;9;perc_O2;84.07142857;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
75692;373852;2016-05-31T16:50:00Z;9;salinity;8.364285714;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
33494;382042;2016-06-13T08:52:00Z;1;chlfa;5.737;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
33494;382042;2016-06-13T08:52:00Z;1;turbidity;32.30894737;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
33494;382042;2016-06-13T08:52:00Z;1;O2;7.548947368;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
33494;382042;2016-06-13T08:52:00Z;1;perc_O2;92.42105263;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
33494;382042;2016-06-13T08:52:00Z;1;salinity;27.90578947;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
36829;380700;2016-06-13T09:05:00Z;3;chlfa;7.508;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
36829;380700;2016-06-13T09:05:00Z;3;turbidity;1188.593158;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
36829;380700;2016-06-13T09:05:00Z;3;O2;7.461578947;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
36829;380700;2016-06-13T09:05:00Z;3;perc_O2;91.42105263;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
36829;380700;2016-06-13T09:05:00Z;3;salinity;27.16684211;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
