FID;id;aphiaid;latitude;longitude;depth;datetime;value;lod;loq;standardparameterid;dataficheid;class;classunit;season;parametername;parameterunit;dataprovider;datasettitle;datafichetitle;stationname;category;valuesign;dateprecision;scientificname
abiotic_observations.fid--30bcb1c6_18c628acf47_-7afb;1150542902;NA;51.425;4.003;11.899999619999999;2013-06-30T00:00:00Z;0.277;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7afa;1150543002;NA;51.425;4.003;11.899999619999999;2013-07-01T00:00:00Z;0.222;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7af9;1150543102;NA;51.425;4.003;11.899999619999999;2013-07-02T00:00:00Z;0.26;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7af8;1150543202;NA;51.425;4.003;11.899999619999999;2013-07-03T00:00:00Z;0.146;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7af7;1150543302;NA;51.425;4.003;11.899999619999999;2013-07-04T00:00:00Z;0.283;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7af6;1150543402;NA;51.425;4.003;11.899999619999999;2013-07-05T00:00:00Z;0.31;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7af5;1150543502;NA;51.425;4.003;11.899999619999999;2013-07-06T00:00:00Z;0.401;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7af4;1150543602;NA;51.425;4.003;11.899999619999999;2013-07-07T00:00:00Z;0.437;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7af3;1150543702;NA;51.425;4.003;11.899999619999999;2013-07-08T00:00:00Z;0.452;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7af2;1150543802;NA;51.425;4.003;11.899999619999999;2013-07-09T00:00:00Z;0.474;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7af1;1150543902;NA;51.425;4.003;11.899999619999999;2013-07-10T00:00:00Z;0.46;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7af0;1150544002;NA;51.425;4.003;11.899999619999999;2013-07-11T00:00:00Z;0.424;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7aef;1150544102;NA;51.425;4.003;11.899999619999999;2013-07-12T00:00:00Z;0.395;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7aee;1150544202;NA;51.425;4.003;11.899999619999999;2013-07-13T00:00:00Z;0.487;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7aed;1150544302;NA;51.425;4.003;11.899999619999999;2013-07-14T00:00:00Z;0.483;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7aec;1150544402;NA;51.425;4.003;11.899999619999999;2013-07-15T00:00:00Z;0.529;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7aeb;1150544502;NA;51.425;4.003;11.899999619999999;2013-07-16T00:00:00Z;0.471;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7aea;1150544602;NA;51.425;4.003;11.899999619999999;2013-07-17T00:00:00Z;0.461;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ae9;1150544702;NA;51.425;4.003;11.899999619999999;2013-07-18T00:00:00Z;0.549;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ae8;1150544802;NA;51.425;4.003;11.899999619999999;2013-07-19T00:00:00Z;0.558;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ae7;1150544902;NA;51.425;4.003;11.899999619999999;2013-07-20T00:00:00Z;0.38;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ae6;1150545002;NA;51.425;4.003;11.899999619999999;2013-07-21T00:00:00Z;0.562;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ae5;1150545102;NA;51.425;4.003;11.899999619999999;2013-07-22T00:00:00Z;0.569;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ae4;1150545202;NA;51.425;4.003;11.899999619999999;2013-07-23T00:00:00Z;0.543;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ae3;1150545302;NA;51.425;4.003;11.899999619999999;2013-07-24T00:00:00Z;0.532;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ae2;1150545402;NA;51.425;4.003;11.899999619999999;2013-07-25T00:00:00Z;0.554;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ae1;1150545502;NA;51.425;4.003;11.899999619999999;2013-07-26T00:00:00Z;0.377;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ae0;1150545602;NA;51.425;4.003;11.899999619999999;2013-07-27T00:00:00Z;0.405;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7adf;1150545702;NA;51.425;4.003;11.899999619999999;2013-07-28T00:00:00Z;0.545;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ade;1150545802;NA;51.425;4.003;11.899999619999999;2013-07-29T00:00:00Z;0.576;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7add;1150545902;NA;51.425;4.003;11.899999619999999;2013-07-30T00:00:00Z;0.349;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7adc;1150546002;NA;51.425;4.003;11.899999619999999;2013-07-31T00:00:00Z;0.508;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7adb;1150546102;NA;51.425;4.003;11.899999619999999;2013-08-01T00:00:00Z;0.617;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ada;1150546202;NA;51.425;4.003;11.899999619999999;2013-08-02T00:00:00Z;0.584;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ad9;1150546302;NA;51.425;4.003;11.899999619999999;2013-08-03T00:00:00Z;0.591;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ad8;1150546402;NA;51.425;4.003;11.899999619999999;2013-08-04T00:00:00Z;0.601;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ad7;1150546502;NA;51.425;4.003;11.899999619999999;2013-08-05T00:00:00Z;0.554;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ad6;1150546602;NA;51.425;4.003;11.899999619999999;2013-08-06T00:00:00Z;0.53;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ad5;1150546702;NA;51.425;4.003;11.899999619999999;2013-08-07T00:00:00Z;0.251;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ad4;1150546802;NA;51.425;4.003;11.899999619999999;2013-08-08T00:00:00Z;0.604;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ad3;1150546902;NA;51.425;4.003;11.899999619999999;2013-08-09T00:00:00Z;0.457;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ad2;1150547002;NA;51.425;4.003;11.899999619999999;2013-08-10T00:00:00Z;0.466;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ad1;1150547102;NA;51.425;4.003;11.899999619999999;2013-08-11T00:00:00Z;0.545;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ad0;1150547202;NA;51.425;4.003;11.899999619999999;2013-08-12T00:00:00Z;0.547;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7acf;1150547302;NA;51.425;4.003;11.899999619999999;2013-08-13T00:00:00Z;0.561;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ace;1150547402;NA;51.425;4.003;11.899999619999999;2013-08-14T00:00:00Z;0.519;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7acd;1150547502;NA;51.425;4.003;11.899999619999999;2013-08-15T00:00:00Z;0.376;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7acc;1150547602;NA;51.425;4.003;11.899999619999999;2013-08-16T00:00:00Z;0.416;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7acb;1150547702;NA;51.425;4.003;11.899999619999999;2013-08-17T00:00:00Z;0.488;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7aca;1150547802;NA;51.425;4.003;11.899999619999999;2013-08-18T00:00:00Z;0.499;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ac9;1150547902;NA;51.425;4.003;11.899999619999999;2013-08-19T00:00:00Z;0.548;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ac8;1150548002;NA;51.425;4.003;11.899999619999999;2013-08-20T00:00:00Z;0.459;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ac7;1150548102;NA;51.425;4.003;11.899999619999999;2013-08-21T00:00:00Z;0.57;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ac6;1150548202;NA;51.425;4.003;11.899999619999999;2013-08-22T00:00:00Z;0.327;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ac5;1150548302;NA;51.425;4.003;11.899999619999999;2013-08-23T00:00:00Z;0.569;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ac4;1150548402;NA;51.425;4.003;11.899999619999999;2013-08-24T00:00:00Z;0.293;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ac3;1150548502;NA;51.425;4.003;11.899999619999999;2013-08-25T00:00:00Z;0.515;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ac2;1150548602;NA;51.425;4.003;11.899999619999999;2013-08-26T00:00:00Z;0.57;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ac1;1150548702;NA;51.425;4.003;11.899999619999999;2013-08-27T00:00:00Z;0.518;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7ac0;1150548802;NA;51.425;4.003;11.899999619999999;2013-08-28T00:00:00Z;0.533;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7abf;1150548902;NA;51.425;4.003;11.899999619999999;2013-08-29T00:00:00Z;0.548;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7abe;1150549002;NA;51.425;4.003;11.899999619999999;2013-08-30T00:00:00Z;0.489;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7abd;1150549102;NA;51.425;4.003;11.899999619999999;2013-08-31T00:00:00Z;0.524;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7abc;1150549202;NA;51.425;4.003;11.899999619999999;2013-09-01T00:00:00Z;0.486;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7abb;1150549302;NA;51.425;4.003;11.899999619999999;2013-09-02T00:00:00Z;0.561;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
abiotic_observations.fid--30bcb1c6_18c628acf47_-7aba;1150549402;NA;51.425;4.003;11.899999619999999;2013-09-03T00:00:00Z;0.586;NA;NA;3620;108;NA;NA;summer;Bruto primaire dagproductie (GPP) in gC/m2;gC/m2;De Vlaamse Waterweg;OMES: Monitoring the primary production in the flemish part of the Scheldt estuary;S-EF-V-002 -  Benthische primaire productie;WS6;pigmenten;NA;NA;NA
