latitude longitude stationname datetime depth parametername parameterunit value
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-11-23T12:12:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-12-07T12:44:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1
51.35118367 4.2509326 "Schaar van Ouden Doel" 1998-12-21T11:23:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1
51.6578 3.21921 "Walcheren 20 km uit de kust" 1999-12-29T14:43:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.5
51.6578 3.21921 "Walcheren 20 km uit de kust" 1999-10-13T13:07:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.1
51.6578 3.21921 "Walcheren 20 km uit de kust" 1999-09-16T05:47:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.5
51.6578 3.21921 "Walcheren 20 km uit de kust" 1999-08-09T22:24:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.66
51.6578 3.21921 "Walcheren 20 km uit de kust" 1999-07-12T19:35:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.68
51.6578 3.21921 "Walcheren 20 km uit de kust" 1999-06-17T09:05:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.2
51.6578 3.21921 "Walcheren 20 km uit de kust" 1999-05-25T20:41:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.32
51.6578 3.21921 "Walcheren 20 km uit de kust" 1999-04-15T22:34:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 22.6
51.6578 3.21921 "Walcheren 20 km uit de kust" 1999-03-17T21:39:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.9
51.6578 3.21921 "Walcheren 20 km uit de kust" 1999-02-15T23:16:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.18
51.6578 3.21921 "Walcheren 20 km uit de kust" 1999-01-11T23:28:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 0.68
51.41080224 3.35843516 Wielingen 1999-11-16T10:00:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.1
51.41080224 3.35843516 Wielingen 1999-08-17T10:17:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 4.98
51.41080224 3.35843516 Wielingen 1999-05-11T15:21:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 19.2
51.41080224 3.35843516 Wielingen 1999-02-25T14:26:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.98
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-01-12T00:45:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.02
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-02-16T00:29:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.84
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-03-17T20:31:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.64
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-04-14T21:22:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 21.6
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-05-25T19:26:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 7.88
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-06-17T10:28:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 10.6
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-07-12T19:17:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 9.74
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-08-09T23:35:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.2
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-09-16T04:37:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.74
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-10-13T12:55:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.62
51.5481 3.4095 "Walcheren 2 km uit de kust" 1999-12-29T13:33:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 0.72
