FID,id,latitude,longitude,depth,datetime,value,standardparameterid,dataproviderid,imisdatasetid,parametername,parameterunit,dataprovider,stationname,unit,valuesign
abiotic_observations.fid--3256cea3_182c573e9e4_-2dcc,187595450,51.35118367,4.2509326,-1,2019-04-29T21:05:00Z,0.22,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dcb,187595451,51.35118367,4.2509326,-1,2019-05-13T19:28:00Z,0.29,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dca,187595452,51.35118367,4.2509326,-1,2019-05-27T18:36:00Z,0.3,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dc9,187595453,51.35118367,4.2509326,-1,2019-06-11T19:15:00Z,0.23,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dc8,187595454,51.35118367,4.2509326,-1,2019-06-25T16:56:00Z,0.28,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dc7,187595455,51.35118367,4.2509326,-1,2019-07-09T17:47:00Z,0.34,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dc6,187595456,51.35118367,4.2509326,-1,2019-07-23T16:32:00Z,0.48,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dc5,187595457,51.35118367,4.2509326,-1,2019-08-05T16:05:00Z,0.41,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dc4,187595458,51.35118367,4.2509326,-1,2019-08-22T16:26:00Z,0.35,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dc3,187595459,51.35118367,4.2509326,-1,2019-09-03T14:51:00Z,0.32,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dc2,187595460,51.35118367,4.2509326,-1,2019-09-17T14:39:00Z,0.33,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dc1,187595461,51.35118367,4.2509326,-1,2019-10-16T14:11:00Z,0.43,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dc0,187595462,51.35118367,4.2509326,-1,2019-10-31T12:53:00Z,0.45,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dbf,187595463,51.35118367,4.2509326,-1,2019-11-13T11:11:00Z,0.4,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dbe,187595464,51.35118367,4.2509326,-1,2019-11-27T11:16:00Z,0.36,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dbd,187595465,51.35118367,4.2509326,-1,2019-12-12T10:46:00Z,0.37,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dbc,187595466,51.35118367,4.2509326,-1,2019-12-19T16:11:00Z,0.26,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dbb,187595467,51.35118367,4.2509326,-1,2020-01-07T20:15:00Z,0.16,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dba,187595468,51.35118367,4.2509326,-1,2020-01-20T19:09:00Z,0.072,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2db9,187595469,51.35118367,4.2509326,-1,2020-02-03T16:49:00Z,0.053,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2db8,187595471,51.35118367,4.2509326,-1,2020-02-17T17:15:00Z,0.067,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2db7,187595472,51.35118367,4.2509326,-1,2020-03-02T15:21:00Z,0.1,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2db6,187595473,51.35118367,4.2509326,-1,2020-03-16T15:41:00Z,0.21,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2db5,187595474,51.35118367,4.2509326,-1,2020-03-30T16:15:00Z,0.088,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2db4,187595475,51.35118367,4.2509326,-1,2020-04-14T17:21:00Z,0.13,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2db3,187595476,51.35118367,4.2509326,-1,2020-04-28T15:58:00Z,0.098,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2db2,187595477,51.35118367,4.2509326,-1,2020-05-11T15:35:00Z,0.086,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2db1,187595478,51.35118367,4.2509326,-1,2020-05-26T15:09:00Z,0.15,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2db0,187595479,51.35118367,4.2509326,-1,2020-06-09T13:21:00Z,0.31,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2daf,187595480,51.35118367,4.2509326,-1,2020-06-24T14:55:00Z,0.19,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
