datetime,X_RD,Y_RD,latitude,longitude
2018-02-20T10:07:34Z,73459,376502,4.216410316971746,51.372706751135006
2018-02-20T10:08:04Z,73478,376423,4.216701386472021,51.37199942188834
2018-02-20T10:08:34Z,73497,376343,4.216992677359894,51.37128310361486
2018-02-20T10:09:04Z,73516,376265,4.21728349817014,51.3705847610528
2018-02-20T10:09:34Z,73540,376187,4.2176461097144236,51.36988713864577
2018-02-20T10:10:04Z,73566,376108,4.218037659819359,51.369180815071616
2018-02-20T10:10:34Z,73594,376026,4.218458607279814,51.36844781353047
2018-02-20T10:11:04Z,73623,375945,4.218893670316342,51.367723942679326
2018-02-20T10:11:34Z,73652,375867,4.219328029478095,51.36702703489675
2018-02-20T10:12:04Z,73682,375784,4.219777883678722,51.366285328068415
2018-02-20T10:12:34Z,73714,375703,4.220255980740563,51.365561883661
2018-02-20T10:13:04Z,73753,375614,4.220836408666204,51.36476753768089
2018-02-20T10:13:34Z,73792,375529,4.221415898032608,51.364009141758835
2018-02-20T10:14:04Z,73832,375446,4.222009267050773,51.363268863030875
2018-02-20T10:14:34Z,73878,375354,4.222690826436207,51.36244854816455
2018-02-20T10:15:04Z,73923,375273,4.223355482984272,51.36172695666949
2018-02-20T10:15:34Z,73980,375200,4.224190572553743,51.36107898797921
2018-02-20T10:16:04Z,74048,375129,4.225183107791044,51.36045056554889
2018-02-20T10:16:34Z,74120,375060,4.22623258577468,51.35984068358218
2018-02-20T10:17:04Z,74197,374987,4.2273547323753435,51.359195553844984
2018-02-20T10:17:34Z,74276,374920,4.228504191298344,51.35860462854197
2018-02-20T10:18:04Z,74357,374856,4.22968164931161,51.358040942023806
2018-02-20T10:18:34Z,74439,374789,4.230874117390403,51.35745042117783
2018-02-20T10:19:04Z,74523,374718,4.232096176164839,51.35682421963071
2018-02-20T10:19:34Z,74602,374647,4.233246422948877,51.35619729393115
2018-02-20T10:20:04Z,74686,374582,4.234467054053022,51.35562499704976
2018-02-20T10:20:34Z,74775,374527,4.235757164488444,51.35514327999114
2018-02-20T10:21:04Z,74868,374469,4.237105347988362,51.35463515073002
2018-02-20T10:21:34Z,74966,374410,4.23852550307441,51.35411872544891
2018-02-20T10:22:04Z,75057,374353,4.2398446899899644,51.35361926939506
2018-02-20T10:22:34Z,75154,374291,4.241251104713308,51.35307570429916
2018-02-20T10:23:04Z,75245,374235,4.2425700065225715,51.352585205495515
2018-02-20T10:23:34Z,75342,374176,4.243975681980257,51.352068572249365
2018-02-20T10:24:04Z,75439,374116,4.2453815505003085,51.35154293360524
2018-02-20T10:24:34Z,75528,374046,4.246674798861024,51.35092626992503
2018-02-20T10:25:04Z,75615,373969,4.247940874354142,51.35024639256166
2018-02-20T10:25:34Z,75697,373906,4.249132007467878,51.34969163664424
2018-02-20T10:26:04Z,75775,373861,4.250261669139763,51.34929809802855
2018-02-20T10:26:34Z,75839,373825,4.2511883501191905,51.34898348325059
2018-02-20T10:27:04Z,75882,373809,4.251809126931883,51.34884568935927
2018-03-05T15:36:55Z,28273,381889,3.565696813184911,51.4127868924521
2018-03-05T15:37:25Z,28272,381897,3.5656795702468207,51.412858556412274
2018-03-05T15:37:55Z,28269,381900,3.5656353828168625,51.41288484089384
2018-03-05T15:38:25Z,28272,381900,3.5656784928899246,51.412885514610224
2018-03-05T15:38:55Z,28280,381914,3.5657884257238446,51.41301311603891
2018-03-05T15:39:25Z,28326,381945,3.566438320801525,51.41330201188404
2018-03-05T15:39:55Z,28432,381992,3.56794470090457,51.413748141961555
2018-03-05T15:40:25Z,28614,382027,3.5705475642840367,51.41410344668091
2018-03-05T15:40:55Z,28781,382052,3.572938487450617,51.414365477576354
2018-03-05T15:41:25Z,28963,382075,3.575545712621896,51.414612837911356
2018-03-05T15:41:55Z,29155,382090,3.578299527281894,51.41479048142305
2018-03-05T15:42:25Z,29343,382102,3.5809969494389797,51.414940210894514
2018-03-05T15:42:55Z,29526,382110,3.5836239583210365,51.415052821716564
2018-03-05T15:43:25Z,29722,382111,3.5864402876504564,51.41510535672482
2018-03-05T15:43:55Z,29911,382112,3.5891560280607746,51.415156272025754
2018-03-05T15:44:25Z,30093,382113,3.5917711788426785,51.41520557464471
2018-03-05T15:44:55Z,30279,382116,3.5944431128643792,51.4152736751288
2018-03-05T15:45:25Z,30472,382121,3.5972149467529104,51.41536123166161
2018-03-05T15:45:55Z,30661,382124,3.599930012671854,51.41542986855511
2018-03-05T15:46:25Z,30843,382129,3.6025437861816183,51.415514874521094
2018-03-05T15:46:55Z,31043,382133,3.605416601863712,51.41559479019712
2018-03-05T15:47:25Z,31224,382139,3.6080156745568774,51.41568844014994
2018-03-05T15:47:55Z,31411,382143,3.6107016865236976,51.41576537392344
2018-03-05T15:48:25Z,31586,382146,3.6132156029694142,51.415830635144005
2018-03-05T15:48:55Z,31791,382147,3.616161364494986,51.415884421077415
2018-03-05T15:49:25Z,31966,382147,3.618676342850204,51.41592260583637
2018-03-05T15:49:55Z,32153,382144,3.621364826770702,51.41593639019449
2018-03-05T15:50:25Z,32346,382142,3.6241391935978515,51.41596040312728
2018-03-05T15:50:55Z,32532,382139,3.626813311515771,51.41597384451379
2018-03-05T15:51:25Z,32711,382136,3.6293868318993106,51.4159857075589
2018-03-05T15:51:55Z,32909,382131,3.6322341034808074,51.415983652569366
2018-03-05T15:52:25Z,33091,382126,3.634851432617597,51.41597807147216
2018-03-05T15:52:55Z,33280,382119,3.6375700519452083,51.41595596898104
2018-03-05T15:53:25Z,33463,382114,3.640201751719678,51.4159504834982
2018-03-05T15:53:55Z,33652,382119,3.6429162411208127,51.416036092683484
2018-03-05T15:54:25Z,33849,382134,3.6457422801076067,51.41621322025298
2018-03-05T15:54:55Z,34041,382134,3.6485016261021714,51.41625441174332
2018-03-05T15:55:25Z,34227,382131,3.651175774940667,51.41626729455204
2018-03-05T15:55:55Z,34421,382129,3.6539645574586403,51.416290812078174
2018-03-05T15:56:25Z,34623,382127,3.6568683170685348,51.416315969684014
2018-03-05T15:56:55Z,34819,382119,3.659687894275667,51.4162858584797
2018-03-05T15:57:25Z,35016,382102,3.662524900872654,51.416175013722054
2018-03-05T15:57:55Z,35204,382073,3.6652366240079597,51.41595435172476
2018-03-05T15:58:25Z,35406,382019,3.66815799736759,51.415511932316114
2018-03-05T15:58:55Z,35576,381942,3.6706272155541386,51.414855978862086
2018-03-05T15:59:25Z,35731,381837,3.672890260704234,51.41394518095342
2018-03-05T15:59:55Z,35876,381727,3.6750111960674277,51.412987295304745
2018-03-05T16:00:25Z,36032,381601,3.677295511392414,51.411887905648506
2018-03-05T16:00:55Z,36170,381486,3.6793173516585957,51.41088353244283
2018-03-05T16:01:25Z,36305,381371,3.681295993610288,51.40987849276956
2018-03-05T16:01:55Z,36437,381250,3.6832334554931796,51.40881886967499
2018-03-05T16:02:25Z,36561,381125,3.6850572163744344,51.4077215890128
2018-03-05T16:02:55Z,36683,381001,3.6868518167195323,51.406632846646374
2018-03-05T16:03:25Z,36804,380871,3.688633971844133,51.405489947500044
2018-03-05T16:03:55Z,36918,380745,3.6903141229385676,51.40438150250856
2018-03-05T16:04:25Z,37025,380623,3.691892281227438,51.40330751613772
2018-03-05T16:04:55Z,37128,380493,3.693415566065378,51.402160780206756
2018-03-05T16:05:25Z,37228,380368,3.694894005218097,51.40105833094872
2018-03-05T16:05:55Z,37337,380232,3.6965053390837506,51.3998588861056
2018-03-05T16:06:25Z,37436,380106,3.6979695952824763,51.398747202020125
2018-03-05T16:06:55Z,37530,379984,3.69936061922413,51.3976704051754
2018-03-05T16:07:25Z,37634,379852,3.7008985579149623,51.396505804314096
2018-03-05T16:07:55Z,37729,379733,3.702302813450677,51.3954561393026
2018-03-05T16:08:25Z,37822,379615,3.7036779424104567,51.39441502856327
2018-03-05T16:08:55Z,37916,379497,3.7050673732665493,51.39337410863072
2018-03-05T16:09:25Z,38015,379371,3.7065312121180805,51.392262314756515
